market_id,slug,question,n_outcomes
1919417,us-x-iran-permanent-peace-deal-by-april-22-2026,"US x Iran permanent peace deal by April 22, 2026?",1
1919421,us-x-iran-permanent-peace-deal-by-april-30-2026-925,"US x Iran permanent peace deal by April 30, 2026?",1
1919425,us-x-iran-permanent-peace-deal-by-may-31-2026-333-871-241-192-799-449-125,"US x Iran permanent peace deal by May 31, 2026?",1
1962237,us-x-iran-permanent-peace-deal-by-june-30-2026-837-641-896-877-363-892-537-597,"US x Iran permanent peace deal by June 30, 2026?",1
2047426,us-x-iran-permanent-peace-deal-by-april-24-2026,"US x Iran permanent peace deal by April 24, 2026?",1
2099029,us-x-iran-permanent-peace-deal-by-may-15-2026-144-885-839,"US x Iran permanent peace deal by May 15, 2026?",1
2155052,us-x-iran-permanent-peace-deal-by-december-31-2026-961-587-341-574-555,"US x Iran permanent peace deal by December 31, 2026?",1
2182248,us-x-iran-permanent-peace-deal-by-may-8-2026,"US x Iran permanent peace deal by May 8, 2026?",1
2182249,us-x-iran-permanent-peace-deal-by-may-11-2026,"US x Iran permanent peace deal by May 11, 2026?",1
2182250,us-x-iran-permanent-peace-deal-by-may-13-2026,"US x Iran permanent peace deal by May 13, 2026?",1
2270338,us-x-iran-permanent-peace-deal-by-july-31-2026-831-252,"US x Iran permanent peace deal by July 31, 2026?",1
2270330,us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,"US x Iran permanent peace deal by June 15, 2026?",1
2297854,us-x-iran-permanent-peace-deal-by-may-22-2026,"US x Iran permanent peace deal by May 22, 2026?",1
2324252,us-x-iran-permanent-peace-deal-by-may-26-2026,"US x Iran permanent peace deal by May 26, 2026?",1
2334107,us-x-iran-permanent-peace-deal-by-june-7-2026,"US x Iran permanent peace deal by June 7, 2026?",1
567688,netanyahu-out-before-2027-684-719-226-657,Netanyahu out by end of 2026?,1
1484949,netanyahu-out-by-march-31-854,Netanyahu out by March 31?,1
1484987,netanyahu-out-by-june-30-383-244-575,Netanyahu out by June 30?,1
1632763,netanyahu-out-by-april-30,Netanyahu out by April 30?,1
2098553,netanyahu-out-by-may-31,Netanyahu out by May 31?,1
1581306,kharg-island-no-longer-under-iranian-control-by-march-31,Kharg Island no longer under Iranian control by March 31?,1
1611267,kharg-island-no-longer-under-iranian-control-by-april-30-912,Kharg Island no longer under Iranian control by April 30?,1
1708086,kharg-island-no-longer-under-iranian-control-by-june-30-561-854,Kharg Island no longer under Iranian control by June 30?,1
1708109,kharg-island-no-longer-under-iranian-control-by-may-31-689,Kharg Island no longer under Iranian control by May 31?,1
1797309,kharg-island-no-longer-under-iranian-control-by-april-15,Kharg Island no longer under Iranian control by April 15?,1
2133404,iran-closes-its-airspace-by-may-8-754-861,Iran closes its airspace by May 8?,1
2133405,iran-closes-its-airspace-by-may-31-434-443-672-526-188-756,Iran closes its airspace by May 31?,1
2166353,iran-closes-its-airspace-by-may-15-844-228,Iran closes its airspace by May 15?,1
2167541,iran-closes-its-airspace-by-may-6,Iran closes its airspace by May 6?,1
2167542,iran-closes-its-airspace-by-may-7,Iran closes its airspace by May 7?,1
2296135,iran-closes-its-airspace-by-may-29,Iran closes its airspace by May 27?,1
2296150,iran-closes-its-airspace-by-june-15,Iran closes its airspace by June 15?,1
2241742,iran-closes-its-airspace-by-june-30-432-786-462-866,Iran closes its airspace by June 30?,1
2241871,iran-closes-its-airspace-by-may-18,Iran closes its airspace by May 18?,1
2241873,iran-closes-its-airspace-by-may-24,Iran closes its airspace by May 24?,1
2241872,iran-closes-its-airspace-by-may-21,Iran closes its airspace by May 21?,1
958443,will-the-iranian-regime-fall-by-june-30,Will the Iranian regime fall by June 30?,1
2308194,will-the-iran-ceasefire-continue-through-may-20,Will the Iran ceasefire continue through May 20?,1
2308198,will-the-iran-ceasefire-continue-through-may-27-496,Will the Iran ceasefire continue through May 27?,1
2308200,will-the-iran-ceasefire-continue-through-may-31-654-633,Will the Iran ceasefire continue through May 31?,1
2308204,will-the-iran-ceasefire-continue-through-july-31-157-645,Will the Iran ceasefire continue through July 31?,1
2308205,will-the-iran-ceasefire-continue-through-december-31-395-943,Will the Iran ceasefire continue through December 31?,1
2308195,will-the-iran-ceasefire-continue-through-may-21,Will the Iran ceasefire continue through May 21?,1
2308196,will-the-iran-ceasefire-continue-through-may-22,Will the Iran ceasefire continue through May 22?,1
2308201,will-the-iran-ceasefire-continue-through-june-7-849,Will the Iran ceasefire continue through June 7?,1
2308197,will-the-iran-ceasefire-continue-through-may-24-733,Will the Iran ceasefire continue through May 24?,1
2308202,will-the-iran-ceasefire-continue-through-june-15-136-565,Will the Iran ceasefire continue through June 15?,1
2308203,will-the-iran-ceasefire-continue-through-june-30-529-427,Will the Iran ceasefire continue through June 30?,1
2334096,will-the-iran-ceasefire-continue-through-may-23,Will the Iran ceasefire continue through May 23?,1
2334097,will-the-iran-ceasefire-continue-through-may-25,Will the Iran ceasefire continue through May 25?,1
2334098,will-the-iran-ceasefire-continue-through-may-26,Will the Iran ceasefire continue through May 26?,1
2334099,will-the-iran-ceasefire-continue-through-may-28,Will the Iran ceasefire continue through May 28?,1
1982151,us-x-iran-diplomatic-meeting-by-april-15-2026-398,"US x Iran diplomatic meeting by April 15, 2026?",1
1982152,us-x-iran-diplomatic-meeting-by-april-16-2026-943,"US x Iran diplomatic meeting by April 16, 2026?",1
1982153,us-x-iran-diplomatic-meeting-by-april-17-2026-229,"US x Iran diplomatic meeting by April 17, 2026?",1
1959318,us-x-iran-diplomatic-meeting-by-april-18-2026-456,"US x Iran diplomatic meeting by April 18, 2026?",1
