market_id,cluster_id,cluster_label,question,resolution_criteria
694934,6,Acquisitions / M&A,Will iRobot be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694938,6,Acquisitions / M&A,Will Viking Therapeutics be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694935,6,Acquisitions / M&A,Will Zoom Video Communications be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694939,6,Acquisitions / M&A,Will Ubisoft be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694932,6,Acquisitions / M&A,Will Snapchat be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694936,6,Acquisitions / M&A,Will Nebius Group be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694940,6,Acquisitions / M&A,Will GitLab be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694933,6,Acquisitions / M&A,Will Warner Bros. Discovery be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694937,6,Acquisitions / M&A,Will BP be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
694941,6,Acquisitions / M&A,Will Pizza Hut be acquired before 2027?,"This market will resolve to “Yes” if credible reporting confirms that any entity enters into an agreement to acquire the listed company by December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Mergers where the listed company is subsumed by another entity will count toward a ""Yes"" resolution.

An announced agreement between the listed company and an acquiring entity will qualify for a “Yes” resolution, regardless of whether the acquisition is ultimately completed.

The primary resolution source for this market is official information from the listed company and/or its leadership; however, a consensus of credible reporting will also be used."
