market_id,slug,question,n_outcomes
521532,starmer-out-in-2025-873,Starmer out in 2025?,1
597967,starmer-out-by-june-30-2026-862-594-548-219-739,"Starmer out by June 30, 2026?",1
666655,starmer-out-by-december-31-2026-936-416-977-234-134-475-773,"Starmer out by December 31, 2026?",1
1336699,starmer-out-by-february-28-2026-352-692,"Starmer out by February 28, 2026?",1
1359701,starmer-out-by-march-31-2026,"Starmer out by March 31, 2026?",1
1500922,starmer-out-by-april-30-2026,"Starmer out by April 30, 2026?",1
2002685,starmer-out-by-may-15-2026,"Starmer out by May 15, 2026?",1
2231205,starmer-out-by-may-31-2026,"Starmer out by May 31, 2026?",1
2251595,starmer-out-by-may-19-2026,"Starmer out by May 19, 2026?",1
2365093,starmer-out-by-july-31-2026,"Starmer out by July 31, 2026?",1
2365092,starmer-out-by-june-15-2026,"Starmer out by June 15, 2026?",1
2128535,epstein-suicide-note-released-by-may-8,Epstein suicide note released by May 8?,1
2128536,epstein-suicide-note-released-by-may-31,Epstein suicide note released by May 31?,1
1559394,trump-out-as-president-by-june-30,Trump out as President by June 30?,1
689356,epstein-client-list-released-in-2025-372,Epstein client list released in 2025?,1
996893,epstein-client-list-released-by-june-30,Epstein client list released by June 30?,1
2306062,epstein-client-list-released-by-december-31-2026,"Epstein client list released by December 31, 2026?",1
2097472,trump-out-as-president-by-may-31,Trump out as President by May 31?,1
648383,billionaire-one-time-wealth-tax-passes-in-california-election-2026,Billionaire one-time wealth tax passes in California election 2026?,1
562811,jeffrey-epstein-foul-play-confirmed-in-2025,Jeffrey Epstein foul play confirmed in 2025?,1
1057348,jeffrey-epstein-foul-play-confirmed-by-march-31,"Jeffrey Epstein foul play confirmed by March 31, 2026?",1
1057349,jeffrey-epstein-foul-play-confirmed-by-december-31-2026,"Jeffrey Epstein foul play confirmed by December 31, 2026?",1
1046978,will-tim-walz-resign-by-january-31,Will Tim Walz resign by January 31?,1
1046979,will-tim-walz-resign-by-june-30,Will Tim Walz resign by June 30?,1
1066009,will-tim-walz-resign-by-december-31-2026,"Will Tim Walz resign by December 31, 2026?",1
1059772,is-jeffrey-epstein-alive-498,Jeffrey Epstein confirmed to be alive before 2027?,1
517231,macron-out-in-2025-834,Macron out in 2025?,1
597964,macron-out-by-june-30-2026-273,"Macron out by June 30, 2026?",1
623939,macron-out-by-october-31-2025,"Macron out by October 31, 2025?",1
1420244,kash-patel-out-by-march-31,Kash Patel out by March 31?,1
1420294,kash-patel-out-by-june-30-165-798,Kash Patel out by June 30?,1
1795655,kash-patel-out-by-december-31-191-341,Kash Patel out by December 31?,1
1838758,kash-patel-out-by-april-30-481,Kash Patel out by April 30?,1
2099041,kash-patel-out-by-may-31,Kash Patel out by May 31?,1
948387,will-susie-wiles-leave-the-trump-administration-before-2027,Will Susie Wiles leave the Trump administration before 2027?,1
948610,will-dan-scavino-leave-the-trump-administration-before-2027,Will Dan Scavino leave the Trump administration before 2027?,1
948639,will-david-sacks-leave-the-trump-administration-before-2027,Will David Sacks leave the Trump administration before 2027?,1
948640,will-russell-vought-leave-the-trump-administration-before-2027,Will Russell Vought leave the Trump administration before 2027?,1
948641,will-tom-homan-leave-the-trump-administration-before-2027,Will Tom Homan leave the Trump administration before 2027?,1
948642,will-john-ratcliffe-leave-the-trump-administration-before-2027,Will John Ratcliffe leave the Trump administration before 2027?,1
676450,will-stephen-miller-leave-the-trump-administration-before-2027,Will Stephen Miller leave the Trump administration before 2027?,1
666657,will-robert-f-kennedy-jr-leave-the-trump-administration-before-2027,Will Robert F. Kennedy Jr. leave the Trump administration before 2027?,1
666659,will-pete-hegseth-leave-the-trump-administration-before-2027,Will Pete Hegseth leave the Trump administration before 2027?,1
666661,will-scott-bessent-leave-the-trump-administration-before-2027,Will Scott Bessent leave the Trump administration before 2027?,1
666663,will-pam-bondi-leave-the-trump-administration-before-2027,Will Pam Bondi leave the Trump administration before 2027?,1
666665,will-howard-lutnick-leave-the-trump-administration-before-2027,Will Howard Lutnick leave the Trump administration before 2027?,1
666667,will-kash-patel-leave-the-trump-administration-before-2027,Will Kash Patel leave the Trump administration before 2027?,1
666658,will-karoline-leavitt-leave-the-trump-administration-before-2027,Will Karoline Leavitt leave the Trump administration before 2027?,1
666660,will-marco-rubio-leave-the-trump-administration-before-2027,Will Marco Rubio leave the Trump administration before 2027?,1
666662,will-tulsi-gabbard-leave-the-trump-administration-before-2027,Will Tulsi Gabbard leave the Trump administration before 2027?,1
666664,will-lee-zeldin-leave-the-trump-administration-before-2027,Will Lee Zeldin leave the Trump administration before 2027?,1
666666,will-dan-bongino-leave-the-trump-administration-before-2027,Will Dan Bongino leave the Trump administration before 2027?,1
972263,will-kristi-noem-leave-the-trump-administration-before-2027,Will Kristi Noem leave the Trump administration before 2027?,1
1896597,will-lori-chavez-deremer-leave-the-trump-administration-before-2027,Will Lori Chavez-DeRemer leave the Trump administration before 2027?,1
1117274,insurrection-act-invoked-by-june-30-851-924,Insurrection Act invoked by June 30?,1
1117273,insurrection-act-invoked-by-march-31-346,Insurrection Act invoked by March 31?,1
1117275,insurrection-act-invoked-by-december-31-184-556,Insurrection Act invoked by December 31?,1
1192770,insurrection-act-invoked-by-january-31-674,Insurrection Act invoked by January 31?,1
1632273,insurrection-act-invoked-by-april-30,Insurrection Act invoked by April 30?,1
