market_id,micro_group_id,group_label,relationship,rank,confidence,rationale
2132787,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,0,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132786,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,1,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132785,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,2,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132784,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,3,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132783,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,4,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132782,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,5,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132781,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,6,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132780,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,7,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132779,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,8,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
2132778,crypto-1,Bitcoin dip (down) thresholds [monthly],IMPLIES,9,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
1343228,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,0,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
1343220,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,1,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
1057916,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,2,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
1343219,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,3,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
701504,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,4,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
1339769,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,5,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
701503,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,6,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
1339768,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,7,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
701502,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,8,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
1339767,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,9,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
701501,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,10,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
1339746,crypto-2,Bitcoin dip (down) thresholds [fixed-window],IMPLIES,11,high,"Same metric, lower (deeper) threshold strictly implies higher; monotone ladder."
