market_id,cluster_id,cluster_label,question,resolution_criteria
573827,1,Claude 5 release,Will Claude 5 be released by December 31?,"This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
573828,1,Claude 5 release,"Will Claude 5 be released by March 31, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by March 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
1320787,1,Claude 5 release,"Will Claude 5 be released by February 28, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by February 28, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
1333241,1,Claude 5 release,"Will Claude 5 be released by February 14, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by February 14, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
1336694,1,Claude 5 release,"Will Claude 5 be released by February 6, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by February 6, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
1363116,1,Claude 5 release,"Will Claude 5 be released by April 30, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by April 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
1363115,1,Claude 5 release,"Will Claude 5 be released by March 15, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by March 15, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
1748641,1,Claude 5 release,"Will Claude 5 be released by May 31, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by May 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
1748840,1,Claude 5 release,"Will Claude 5 be released by June 30, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by June 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
2169806,1,Claude 5 release,"Will Claude 5 be released by September 30, 2026?","This market will resolve to ""Yes"" if Anthropic's Claude 5 model is made available to the general public by September 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No.""

For this market to resolve to ""Yes,"" Claude 5 must be launched and publicly accessible, including via open beta or open rolling waitlist signups. A closed beta or any form of private access will not suffice. The release must be clearly defined and publicly announced by Anthropic as being accessible to the general public.

Claude 5 refers to a product explicitly named Claude 5 (e.g. Claude 5.0 would count), or one that is recognized as a successor to Claude 4, similar to the progression from Claude 2 to Claude 3. Products labeled as Claude 4.5 or similar will not count for this market's resolution.

The primary resolution source for this market will be official information from Anthropic, with additional verification from a consensus of credible reporting."
