market_id,cluster_id,cluster_label,question,resolution_criteria
521532,14,Starmer out as UK PM,Starmer out in 2025?,"This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between February 2 and December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
597967,14,Starmer out as UK PM,"Starmer out by June 30, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between September 14, 2025, and June 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
666655,14,Starmer out as UK PM,"Starmer out by December 31, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between November 5, 2025, and December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
1336699,14,Starmer out as UK PM,"Starmer out by February 28, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between September 14, 2025, and February 28, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
1359701,14,Starmer out as UK PM,"Starmer out by March 31, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between market creation and March 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
1500922,14,Starmer out as UK PM,"Starmer out by April 30, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between market creation and April 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
2002685,14,Starmer out as UK PM,"Starmer out by May 15, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between market creation and May 15, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
2231205,14,Starmer out as UK PM,"Starmer out by May 31, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between market creation and May 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
2251595,14,Starmer out as UK PM,"Starmer out by May 19, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between market creation and May 19, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
2365093,14,Starmer out as UK PM,"Starmer out by July 31, 2026?","This market will resolve to “Yes” if Keir Starmer ceases to be the Prime Minister of the United Kingdom for any period of time between market creation and July 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

An announcement of Keir Starmer's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

The resolution source for this market will be the government of the UK, however a consensus of credible reporting will also suffice."
